State,BPI,Trump,Biden
Alabama,14.53,0.619323510705329,0.380676489294671
Alaska,9.0,0.520787233901613,0.47921276609838703
Arizona,4.2,0.483951988058925,0.5160480119410751
Arkansas,15.58,0.66909680263556,0.33090319736443996
California,-12.96,0.359330034533208,0.640669965466792
Colorado,-1.26,0.439657321217058,0.560342678782942
Connecticut,-6.95,0.41484746012372,0.58515253987628
Delaware,-7.14,0.443293312927267,0.5567066870727331
District of Columbia,-42.87,0.110265808256422,0.889734191743578
Florida,2.84,0.487453451987589,0.512546548012411
Georgia,4.99,0.498797780876664,0.5012022191233361
Hawaii,-18.5,0.349475442176937,0.650524557823063
Idaho,18.41,0.608204342235883,0.39179565776411696
Illinois,-7.29,0.430976627030397,0.569023372969603
Indiana,9.6,0.553843622354093,0.446156377645907
Iowa,3.35,0.501497114794525,0.49850288520547503
Kansas,11.64,0.554991223488348,0.44500877651165205
Kentucky,15.08,0.60212053530789,0.39787946469211
Louisiana,12.17,0.615843251794312,0.384156748205688
Maine,-2.89,0.420420488782156,0.579579511217844
Maine2,3.51,0.502370336107498,0.49762966389250196
Maryland,-12.25,0.358200473394214,0.641799526605786
Massachusetts,-16.04,0.36353212224736,0.63646787775264
Michigan,-0.3,0.461219691298733,0.538780308701267
Minnesota,-0.85,0.46303347288874,0.53696652711126
Mississippi,9.18,0.58776724011557,0.41223275988443
Missouri,9.62,0.540563097984525,0.45943690201547505
Montana,9.76,0.539508021206098,0.460491978793902
Nebraska,14.39,0.568729842701308,0.431270157298692
Nebraska2,3.26,0.48116680216487,0.5188331978351299
Nevada,0.12,0.469179290516299,0.530820709483701
New Hampshire,-0.21,0.452406433032603,0.547593566967397
New Jersey,-6.18,0.408175961505364,0.591824038494636
New Mexico,-4.14,0.444870855645769,0.555129144354231
New York,-11.53,0.358182920589638,0.6418170794103619
North Carolina,3.51,0.492592006884668,0.507407993115332
North Dakota,17.04,0.584703577501825,0.415296422498175
Ohio,4.55,0.508823871379615,0.49117612862038496
Oklahoma,19.38,0.613802008399415,0.386197991600585
Oregon,-5.29,0.427093478020874,0.5729065219791261
Pennsylvania,0.6,0.472287826883639,0.527712173116361
Rhode Island,-9.39,0.425445186312509,0.574554813687491
South Carolina,8.67,0.526244495055218,0.473755504944782
South Dakota,15.26,0.601612694379003,0.398387305620997
Tennessee,13.93,0.618844571640094,0.381155428359906
Texas,7.2,0.505041202922103,0.49495879707789703
Utah,16.94,0.570797125387339,0.42920287461266105
Vermont,-15.75,0.383256709140165,0.6167432908598349
Virginia,-1.13,0.451027893286472,0.548972106713528
Washington,-7.44,0.406136718055098,0.593863281944902
West Virginia,18.16,0.638425014414999,0.361574985585001
Wisconsin,0.39,0.467495759722392,0.532504240277608
Wyoming,24.64,0.684224795307416,0.315775204692584
